Date,Close,High,Low,Open,Volume
2011-02-23,100.22994232177734,101.03319176372149,99.6102964209132,100.78838704228147,227584000
2011-02-24,100.16107940673828,100.55123545570007,99.22013610399894,100.1228388844669,260431400
2011-02-25,101.23206329345703,101.29326445957854,100.52060995110739,100.58181111722888,141686900
2011-02-28,101.859375,101.98943479935753,101.2703355461157,101.60693619001027,141585500
2011-03-01,100.16107940673828,102.27247918343188,100.13048465433496,102.18068325329081,258565500
2011-03-02,100.3752670288086,100.84191569140106,99.71736910569346,100.02336325335834,200277400
2011-03-03,102.10417175292969,102.21891665761585,101.27797342039845,101.2856191897341,176480100
2011-03-04,101.33916473388672,102.22656415355277,100.67362100560175,102.02765744087606,277202300
2011-03-07,100.5435562133789,101.86700950826521,100.01571805658074,101.63750805974117,216790400
2011-03-08,101.42332458496094,101.74462199049508,100.2681830789027,100.70422538893821,174615000
2011-03-09,101.27796936035156,101.59162098449374,100.67362676501428,101.22442563128793,153806000
2011-03-10,99.40373229980469,100.35232130239275,99.30427893420553,100.2146274173449,301291800
2011-03-11,100.0921859741211,100.45173543076578,99.05944722086724,99.08239619274451,225621800
2011-03-14,99.48787689208984,99.81682004771284,98.73052554787496,99.44197893297311,234974100
2011-03-15,98.34803009033203,98.93708115439384,96.77213785537573,96.84098479622024,359585400
2011-03-16,96.52737426757812,98.35572346294452,95.838875425291,98.03441427576534,468670300
2011-03-17,97.80488586425781,98.21798503156391,97.2311379935213,97.91963660569814,254303700
2011-03-18,98.16059875488281,99.02111956243866,97.96851868852093,98.9903801865841,230435400
2011-03-21,99.68189239501953,99.8893304609143,99.2669928159523,99.3822479095327,153992600
2011-03-22,99.33615112304688,99.79714810710327,99.24395641569171,99.66653503047003,129538600
2011-03-23,99.62042999267578,99.88165612579286,98.59088342782184,99.0595476364875,148603100
2011-03-24,100.5731430053711,100.71912576779988,99.62811212706863,100.18898277735418,159129800
2011-03-25,100.88044738769531,101.31838381748592,100.56543328333248,100.83435005020537,155642800
2011-03-28,100.63457489013672,101.35679774226892,100.60384724103213,101.09557169215513,109762400
2011-03-29,101.31072235107422,101.34145000683452,100.21970885519107,100.55008098007677,129798800
2011-03-30,102.00990295410156,102.30954744163621,101.69488877592337,101.84087152793956,135835000
2011-03-31,101.87159729003906,102.15588380527933,101.7640329048137,101.87928799703718,132537100
2011-04-01,102.3018569946289,102.7782236166781,102.05600056190195,102.50162780258594,153850100
2011-04-04,102.3863754272461,102.70138961459189,102.09442163835615,102.51698849241987,100768900
2011-04-05,102.37101745605469,102.82432369228349,102.14051898425791,102.18661633388942,120791500
2011-04-06,102.69368743896484,102.95491351031824,102.27878793868676,102.86271883187271,120411600
2011-04-07,102.4324951171875,102.93957773934865,101.92540077138587,102.50932013332562,170731500
2011-04-08,102.07904052734375,102.94724626043725,101.65646199691604,102.88577922658978,147945400
2011-04-11,101.77172088623047,102.53235054579667,101.52585274164936,102.18660872566309,121385400
2011-04-12,101.01109313964844,101.40293235888016,100.642302596628,101.20317325716908,161187400
2011-04-13,101.00337219238281,101.55655191526826,100.61921211694548,101.47972693436186,162059000
2011-04-14,101.08023834228516,101.233900090318,100.08911010237942,100.41948227446804,161220400
2011-04-15,101.44902801513672,101.70257517286161,100.96499409915263,101.26463860852937,170006700
2011-04-18,100.31192016601562,101.44135221145466,99.5051813158963,100.33496884256417,210759300
2011-04-19,100.8881607055664,100.9189000901123,100.21972563719544,100.4655820953617,124258800
