Date,Close,High,Low,Open,Volume
2011-07-05,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-06,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-07,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-08,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-11,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-12,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-13,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-14,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-15,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-18,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-19,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-20,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-21,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-22,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-25,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-26,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-27,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-28,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-07-29,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-01,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-02,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-03,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-04,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-05,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-08,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-09,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-10,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-11,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-12,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-15,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-16,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-17,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-18,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-19,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-22,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-23,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-24,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-25,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-26,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-29,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-30,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-08-31,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-01,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-02,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-06,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-07,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-08,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-09,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-12,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-13,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-14,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-15,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-16,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-19,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-20,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-21,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-22,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-23,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-26,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-27,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-28,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-29,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-09-30,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-03,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-04,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-05,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-06,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-07,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-10,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-11,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-12,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-13,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-14,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-17,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-18,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-19,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-20,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-21,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-24,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-25,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-26,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-27,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-28,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-10-31,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-01,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-02,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-03,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-04,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-07,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-08,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-09,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-10,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-11,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
